FeatureUID,DsgAttr01,Country,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,geometry,id,infra,name,iso3,Continent_Code,dist,matches
MAp07,MAp07b,Morocco,Safi,<Null>,Bulk Commodities Port,32.309835,-9.246361,E,Y,Fertilizer,"Phosphoric Acid, Caustic Soda",-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp006",Doukkala - Abda,45797,POINT (-1029300.1982107839 3781213.992189071),port1118,port,Safi_Morocco,MAR,AF,220.19896602719743,Y
MAp07,MAp07d,Morocco,Safi,<Null>,Bulk Commodities Port,32.309835,-9.246361,E,Y,Cement,Clinker,-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp006",Doukkala - Abda,45797,POINT (-1029300.1982107839 3781213.992189071),port1118,port,Safi_Morocco,MAR,AF,220.19896602719743,Y
LRp02,LRp02a,Liberia,Monrovia,Freeport of Monrovia,Bulk Commodities Port,6.341297,-10.796019,E,Y,Iron and Steel,Iron Ore,-999.0,NA,<Null>,"The Western Cluster (Mano River, Bomi Hills and Bea Mountain)",HSSE,National Port Authority of Liberia (NPA),http://www.npaliberia.com/,<Null>,LRp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LRp001, LRp007, LRp008",Montserrado,45940,POINT (-1201807.3376745065 702639.4151911149),port762,port,Monrovia_Liberia,LBR,AF,234.286310785472,Y
DZp06,DZp06a,Algeria,Oran,Wahrān,Oil and Gas Terminal,35.711423,-0.636276,E,N,Oil and Gas Products,"Crude Oil, Refined Oil Products, Liquefied Petroleum Gas (LPG), Natural Gas Plant Liquids (NGPL)",-999.0,NA,<Null>,<Null>,Sonatrach,Entreprise Portuaire d'Oran,http://www.port-oran.dz/,<Null>,DZp6,"NGA-WPI-Pub150, DZp009, Google Earth","NGA-WPI-Pub150, DZp009, DZp016",Oran,45640,POINT (-70829.92032398093 4236044.191318588),port856,port,Oran_Algeria,DZA,AF,246.22288659885663,Y
TNp07,TNp07a,Tunisia,Sousse,<Null>,Oil and Gas Terminal,35.824177,10.647382,E,N,"Oil and Gas Products, Refined",Unspecified Refined Products,-999.0,NA,<Null>,<Null>,<Null>,Office of Merchant Navy and Ports,http://www.ommp.nat.tn/,<Null>,TNp7,"NGA-WPI-Pub150, TNp015, Google Earth","NGA-WPI-Pub150, TNp005, TNp007, TNp015",Sousse,45410,POINT (1185261.1425214668 4251445.217399291),port1213,port,Sousse_Tunisia,TUN,AF,260.16239529525865,Y
DZp01,DZp01a,Algeria,Algiers,"Alger, El-Jazair",Oil and Gas Terminal,36.76488,3.06529,E,N,Oil and Gas Products,Hassi Messaoud Crude Oil,58.0,Thousand barrels per day,<Null>,Algiers (El Harrach) Refinery,Dubai Ports World (DP World),Entreprise Portuaire d'Alger,https://www.portalger.com.dz/,<Null>,DZp1,"NGA-WPI-Pub150, DZp001, Google Earth","NGA-WPI-Pub150, DZp001, DZp015, DZp016",Algiers,45570,POINT (341226.5219337136 4380808.156059589),port32,port,Alger_Algeria,DZA,AF,273.47978918018026,Y
GMp01,GMp01a,"Gambia, The",Banjul,<Null>,Oil and Gas Terminal,13.444562,-16.571484,E,N,Oil and Gas Products,Heavy Fuel Oil (HFO),42.0,42-gallon barrels per day,<Null>,<Null>,<Null>,Gambia Ports Authority,https://www.gambiaports.gm/,<Null>,GMp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GMp001, GMp002",Banjul,45825,POINT (-1844729.1605688806 1500639.8967843908),port113,port,Banjul_Gambia,GMB,AF,297.3134712132899,Y
BEp01,BEp01b,Benin,Cotonou,Port Autonome de Cotonou Pac,Bulk Commodities Port,6.345091,2.425525,E,Y,Cement,Unspecified,1.8,Million metric tons,<Null>,Cotonou Plant and Masse Plant,Bolloré Africa Logiscs,Ports Authority of Cotonou,http://www.portcotonou.com/,<Null>,<Null>,"NGA-WPI-Pub150, BEp001, Google Maps","NGA-WPI-Pub150, BEp001, BEp003, WRLDp002, BEp002",Littoral,46110,POINT (270008.20790635486 703061.5526256157),port265,port,Cotonou_Benin,BEN,AF,298.0063492029387,Y
BEp01,BEp01a,Benin,Cotonou,Port Autonome de Cotonou Pac,General Cargo Port,6.345091,2.425525,E,Y,Uranium,Unspecified,-999.0,NA,<Null>,Northern Niger,Bolloré Africa Logiscs,Ports Authority of Cotonou,http://www.portcotonou.com/,<Null>,BEp1,"NGA-WPI-Pub150, BEp001, Google Maps","NGA-WPI-Pub150, BEp001, BEp002",Littoral,46110,POINT (270008.20790635486 703061.5526256157),port265,port,Cotonou_Benin,BEN,AF,298.0063492029387,Y
GNp01,GNp01b,Guinea,Conakry,<Null>,Bulk Commodities Port,9.516667,-13.716667,E,Y,Cement,Cement (Bulk),300000.0,Metric tons,<Null>,Conakry Grinding Plant,Ciments de Guinée S.A,Port Authority of Conakry,<Null>,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001",Conakry,45855,POINT (-1526932.3858208992 1057235.6888527896),port258,port,Conakry_Guinea,GIN,AF,324.4788745434148,Y
GNp01,GNp01d,Guinea,Conakry,<Null>,General Cargo Port,9.516667,-13.716667,E,Y,Diamond,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Port Authority of Conakry,<Null>,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001, GNp002",Conakry,45855,POINT (-1526932.3858208992 1057235.6888527896),port258,port,Conakry_Guinea,GIN,AF,324.4788745434148,Y
GNp01,GNp01a,Guinea,Conakry,<Null>,Bulk Commodities Port,9.516667,-13.716667,E,Y,Aluminum,Bauxite,-999.0,NA,<Null>,<Null>,<Null>,Port Authority of Conakry,<Null>,<Null>,GNp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001, GNp002",Conakry,45855,POINT (-1526932.3858208992 1057235.6888527896),port258,port,Conakry_Guinea,GIN,AF,324.4788745434148,Y
GNp01,GNp01e,Guinea,Conakry,<Null>,General Cargo Port,9.516667,-13.716667,E,Y,Iron and Steel,Iron Ore,-999.0,NA,<Null>,<Null>,<Null>,Port Authority of Conakry,<Null>,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001",Conakry,45855,POINT (-1526932.3858208992 1057235.6888527896),port258,port,Conakry_Guinea,GIN,AF,324.4788745434148,Y
GNp01,GNp01c,Guinea,Conakry,<Null>,General Cargo Port,9.516667,-13.716667,E,Y,Gold,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Port Authority of Conakry,<Null>,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001, GNp002",Conakry,45855,POINT (-1526932.3858208992 1057235.6888527896),port258,port,Conakry_Guinea,GIN,AF,324.4788745434148,Y
CPp01,CPp01d,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Dimension Stone,Limestone,-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
CPp01,CPp01f,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Sand,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
CPp01,CPp01e,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Salt,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
CPp01,CPp01c,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Clay,Kaolin,-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
CPp01,CPp01b,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Gypsum,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
CPp01,CPp01a,Cabo Verde,Porto Grande,Mindelo,Bulk Commodities Port,16.890709,-24.995812,E,N,Cement,Pozzolana (Cement),-999.0,NA,<Null>,<Null>,<Null>,"Portos de Cabo Verde, Enapor",http://www.enapor.cv/en_US/,<Null>,CPp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, WRLDp002",São Vicente,45880,POINT (-2782521.0638043974 1895698.6066102267),port1009,port,Porto Grande_Cape Verde,CPV,AF,406.40735298560963,Y
GAp02,GAp02a,Gabon,Port Gentil,<Null>,Oil and Gas Terminal,-0.6894,8.774696,E,N,Oil and Gas Products,Oil (Unspecified),24.0,Thousand barrels per day,<Null>,<Null>,Perenco Group,Office des Ports et Rades du Gabon,<Null>,<Null>,GAp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GAp005",Ogooué-Maritime,46440,POINT (976794.6905857744 -76231.76982522589),port952,port,Port Gentil_Gabon,GAB,AF,408.07218895788714,Y
ZAp07,ZAp07a,South Africa,Richards Bay,<Null>,Bulk Commodities Port,-28.788891,32.03952,E,N,Coal,Unspecified (Bulk),72.0,Million metric tons,<Null>,"From Mines in Mpumalanga, Kwazulu-Natal",Richards Bay Coal Terminal (Proprietary) Ltd. (RBCT),Transnet National Port Authority and Ingwe (Subsidiary of BHP Billiton Ltd.),https://www.transnetnationalportsauthority.net/Pages/default.aspx,<Null>,ZAp7,"NGA-WPI-Pub150, Google Maps, ZAp003","NGA-WPI-Pub150, ZAp001, ZAp003, WRLDp001, ZAp013, ZAp017",KwaZulu-Natal,46855,POINT (3566623.0516609047 -3328230.773152008),port1099,port,Richards Bay_South Africa,ZAF,AF,443.5762507998604,Y
SDp01,SDp01b,Sudan,Port Sudan,<Null>,Oil and Gas Terminal,19.6,37.233333,E,Y,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,Sudan Sea Ports Corporation,Sudan Sea Ports Corporation,http://sudanports.gov.sd/web/en/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SDp003",Red Sea,47940,POINT (4144795.6700963895 2211378.5539794266),port977,port,Port Sudan_Sudan,SDN,AF,461.9924036009706,Y
SDp01,SDp01a,Sudan,Port Sudan,<Null>,Bulk Commodities Port,19.6,37.233333,E,Y,Cement,Sea Bulk Cement,-999.0,NA,<Null>,<Null>,Sudan Sea Ports Corporation,Sudan Sea Ports Corporation,http://sudanports.gov.sd/web/en/,<Null>,SDp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SDp002",Red Sea,47940,POINT (4144795.6700963895 2211378.5539794266),port977,port,Port Sudan_Sudan,SDN,AF,461.9924036009706,Y
SNp01,SNp01h,Senegal,Dakar,<Null>,Bulk Commodities Port,14.687497,-17.426862,E,Y,Clay,Attapulgite,175000.0,Metric tons,<Null>,<Null>,Necotrans,Direction Générale du Port Autonome de Dakar Dubaï Port,https://www.portdakar.sn/en,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SNp001, SNp002, SNp003",Dakar,45820,POINT (-1939949.403964649 1642383.9872330693),port272,port,Dakar_Senegal,SEN,AF,469.30672783130973,Y
